seed,window,rate,drift_hit,drift_nohit,delta_drift,ratio_guarded,guard_triggered,frac_hit
789,14,0.0005,,0.3264,,,False,0.0
789,15,0.0005,,0.4603,,,False,0.0
789,16,0.0005,,0.154,,,False,0.0
789,17,0.0005,,0.3818,,,False,0.0
789,18,0.0005,,0.4377,,,False,0.0
789,19,0.0005,,0.303,,,False,0.0769
789,20,0.0005,,0.2887,,,False,0.0
789,21,0.0005,,0.1537,,,False,0.0
789,22,0.0005,,0.4186,,,False,0.0
789,23,0.0005,,0.3696,,,False,0.0
789,24,0.0005,,0.3783,,,False,0.0
789,25,0.0005,,0.5899,,,False,0.0
999,2,0.0005,,0.3307,,,False,0.0
999,3,0.0005,,0.2793,,,False,0.0
999,4,0.0005,,0.4287,,,False,0.0
999,5,0.0005,,0.1724,,,False,0.0556
999,6,0.0005,0.0,0.1854,-0.1854,0.0,False,0.0769
999,7,0.0005,,0.2352,,,False,0.0
999,8,0.0005,,0.4531,,,False,0.0
999,9,0.0005,,0.5339,,,False,0.0
999,10,0.0005,,0.3999,,,False,0.0
999,11,0.0005,,0.3292,,,False,0.0
999,12,0.0005,,1.0,,,False,0.0
999,13,0.0005,,0.8618,,,False,0.0
999,14,0.0005,,0.5066,,,False,0.0
999,15,0.0005,,0.6125,,,False,0.0
999,16,0.0005,,0.2492,,,False,0.0
999,17,0.0005,,0.4495,,,False,0.0
999,18,0.0005,,0.4008,,,False,0.0
999,19,0.0005,,0.2073,,,False,0.0
999,20,0.0005,,0.6291,,,False,0.0
999,21,0.0005,,0.4251,,,False,0.0
999,22,0.0005,,0.4135,,,False,0.0
999,23,0.0005,,0.4988,,,False,0.1429
999,24,0.0005,,0.4672,,,False,0.0
999,25,0.0005,,0.3847,,,False,0.0
1337,2,0.0005,,0.397,,,False,0.0
1337,3,0.0005,,0.4774,,,False,0.0
1337,4,0.0005,,0.2891,,,False,0.0
1337,5,0.0005,,0.3821,,,False,0.0556
1337,6,0.0005,,0.3904,,,False,0.0
1337,7,0.0005,,0.4718,,,False,0.0769
1337,8,0.0005,,0.2073,,,False,0.0
1337,9,0.0005,,0.4948,,,False,0.0
1337,10,0.0005,,0.2067,,,False,0.0
1337,11,0.0005,,0.4411,,,False,0.0
1337,12,0.0005,,0.374,,,False,0.04
1337,13,0.0005,,0.6776,,,False,0.0
1337,14,0.0005,,0.4782,,,False,0.0
1337,15,0.0005,,0.3624,,,False,0.0
1337,16,0.0005,,0.5431,,,False,0.0
1337,17,0.0005,,0.5156,,,False,0.0667
1337,18,0.0005,0.0,0.4185,-0.4185,0.0,False,0.0588
1337,19,0.0005,,0.3578,,,False,0.0
1337,20,0.0005,,0.5383,,,False,0.0
1337,21,0.0005,,0.468,,,False,0.0
1337,22,0.0005,,0.4369,,,False,0.0
1337,23,0.0005,,0.4537,,,False,0.0
1337,24,0.0005,,0.2035,,,False,0.0
1337,25,0.0005,,0.5643,,,False,0.0
2024,2,0.0005,,0.1655,,,False,0.0
2024,3,0.0005,,0.0427,,,False,0.0
2024,4,0.0005,,0.1821,,,False,0.2
2024,5,0.0005,,0.2083,,,False,0.0
2024,6,0.0005,,0.4423,,,False,0.0
2024,7,0.0005,,0.3642,,,False,0.2
2024,8,0.0005,,0.4287,,,False,0.0
2024,9,0.0005,,0.3847,,,False,0.0
2024,10,0.0005,,0.2168,,,False,0.0
2024,11,0.0005,,0.1788,,,False,0.0
2024,12,0.0005,,0.3776,,,False,0.0
2024,13,0.0005,,0.5053,,,False,0.0
2024,14,0.0005,,0.5543,,,False,0.0
2024,15,0.0005,,0.4624,,,False,0.0
2024,16,0.0005,,0.2147,,,False,0.0769
2024,17,0.0005,,0.2979,,,False,0.0
2024,18,0.0005,,0.6913,,,False,0.0
2024,19,0.0005,,0.1072,,,False,0.0
2024,20,0.0005,,0.609,,,False,0.0
2024,21,0.0005,,0.3926,,,False,0.0
2024,22,0.0005,,0.2962,,,False,0.0
2024,23,0.0005,,0.2967,,,False,0.0455
2024,24,0.0005,,0.2255,,,False,0.0
2024,25,0.0005,,0.465,,,False,0.0
7,2,0.001,0.5579,0.2334,0.3245,2.39,False,0.0127
7,3,0.001,0.5579,0.2386,0.3193,2.338,False,0.069
7,4,0.001,,0.1411,,,False,0.0
7,5,0.001,,0.1827,,,False,0.1111
7,6,0.001,,0.319,,,False,0.0
7,7,0.001,,0.1449,,,False,0.0
7,8,0.001,,0.1964,,,False,0.0
7,9,0.001,,0.3085,,,False,0.0
7,10,0.001,,0.5204,,,False,0.0909
7,11,0.001,,0.2418,,,False,0.0
7,12,0.001,,0.459,,,False,0.0833
7,13,0.001,,0.3772,,,False,0.0
7,14,0.001,,0.7606,,,False,0.0
7,15,0.001,,0.8599,,,False,0.0
7,16,0.001,,0.4369,,,False,0.0
7,17,0.001,,0.2595,,,False,0.0
7,18,0.001,,0.2416,,,False,0.1765
7,19,0.001,,0.6676,,,False,0.0
7,20,0.001,,0.2648,,,False,0.0
7,21,0.001,,0.5707,,,False,0.0
7,22,0.001,,0.3824,,,False,0.0
7,23,0.001,,0.5302,,,False,0.0625
7,24,0.001,0.0,0.2336,-0.2336,0.0,False,0.0833
7,25,0.001,,0.5872,,,False,0.0
42,2,0.001,,0.2781,,,False,0.0
