seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
26,29,2762,27,27,0.6272,0.662,0.8268,9.2312,17,0,13,185,89,0.8163,0.2618,72.6,341
27,20,2955,28,28,0.3214,0.6742,0.8448,11.6497,9,15,17,45,81,0.961,0.0856,22.3,293
27,21,2815,30,30,0.3204,0.6675,0.8175,21.4057,9,16,26,79,102,0.881,0.2041,30.1,371
27,22,2864,26,26,0.4171,0.6711,0.8133,14.4466,9,8,22,86,82,0.8601,0.2168,29.9,306
27,23,3011,29,29,0.4052,0.6597,0.8155,16.2274,9,11,14,100,86,0.8332,0.2468,29.4,355
27,24,2884,28,28,0.4333,0.6743,0.8037,11.7505,9,8,17,108,85,0.8232,0.2565,31.7,329
27,25,2962,23,23,0.4859,0.6636,0.8037,7.935,10,4,4,99,49,0.8237,0.264,40.7,230
27,26,2816,20,20,0.55,0.6617,0.8161,6.9914,10,1,4,89,45,0.7905,0.295,49.7,183
27,27,2900,21,21,0.5325,0.6743,0.8317,7.9525,10,2,6,104,46,0.8353,0.261,62.3,207
27,28,2793,23,23,0.5587,0.6665,0.8297,11.6878,13,3,10,121,42,0.8049,0.2654,65.9,243
27,29,2930,21,21,0.6044,0.6627,0.8364,9.7746,15,1,10,120,42,0.7709,0.2849,86.5,209
28,20,2956,18,18,0.4833,0.683,0.8581,11.3409,8,6,13,29,28,0.9435,0.1486,30.7,135
28,21,2947,16,16,0.5391,0.6661,0.8211,12.7942,8,4,10,43,41,0.9243,0.1927,61.9,113
28,22,2943,18,18,0.5175,0.6638,0.8261,12.7793,8,3,9,55,45,0.8491,0.2548,53.0,142
28,23,2986,20,20,0.4804,0.6706,0.819,14.656,9,3,13,70,40,0.8149,0.2791,41.8,179
28,24,2908,25,25,0.44,0.6628,0.8257,15.4296,9,4,20,88,64,0.8161,0.2631,34.5,268
28,25,2901,24,24,0.4911,0.6668,0.8092,11.024,9,2,13,96,60,0.7986,0.2717,38.3,264
28,26,2912,25,25,0.457,0.6682,0.822,13.6924,10,3,13,98,71,0.8012,0.2991,45.8,268
28,27,2841,26,26,0.4571,0.6772,0.8242,12.6697,11,4,15,97,90,0.8527,0.2529,40.7,286
28,28,2853,30,30,0.4667,0.6782,0.8176,11.4796,12,7,15,123,118,0.8433,0.2538,39.3,396
28,29,2812,32,32,0.4322,0.6654,0.8114,11.8508,13,12,16,129,123,0.8398,0.2473,30.1,446
29,20,3005,24,24,0.4167,0.6691,0.8474,25.3572,9,7,21,57,51,0.9067,0.226,25.8,236
29,21,2874,20,20,0.4886,0.65,0.8253,11.9779,10,5,12,65,43,0.8743,0.2199,49.2,185
29,22,2882,24,24,0.4236,0.671,0.8292,19.2471,10,10,21,87,52,0.9018,0.1824,42.6,253
29,23,2873,28,28,0.4102,0.6739,0.8216,16.1983,11,12,24,109,84,0.844,0.2259,39.7,348
29,24,2930,26,26,0.4587,0.6593,0.8258,12.6083,12,6,15,126,75,0.836,0.2402,45.9,297
29,25,2919,23,23,0.5304,0.6692,0.8143,7.3985,12,2,6,122,65,0.8131,0.25,51.4,241
29,26,2931,27,27,0.4729,0.665,0.8341,12.1128,13,7,14,131,81,0.8281,0.2489,46.6,327
29,27,2895,23,23,0.5393,0.6663,0.8246,9.5291,12,3,13,118,60,0.8285,0.2583,54.8,245
29,28,2946,24,24,0.5258,0.664,0.8247,10.9152,12,4,9,122,67,0.8267,0.2498,56.8,266
29,29,2870,28,28,0.5044,0.6703,0.8231,11.3037,13,7,14,142,79,0.8059,0.2687,42.6,364
3,20,2837,23,23,0.4169,0.6559,0.8493,13.3221,7,3,17,49,53,0.8892,0.1916,25.7,227
3,21,2726,24,24,0.4905,0.6687,0.8303,14.2533,10,4,18,90,53,0.8135,0.2641,38.4,259
3,22,2853,24,24,0.508,0.6767,0.8207,15.179,11,4,17,97,63,0.8163,0.2566,41.5,254
