seed,window,rate,k,tc,H,drift,J,tH,tD,tP,k_star
55,12,0.0,2,4,1.7652,0.5764,1.1806,1.7652,0.5764,-1.161,3
55,12,0.0,3,4,1.7652,0.6435,1.2477,1.7652,0.6435,-1.161,3
55,12,0.0,4,4,1.7652,0.6435,1.2477,1.7652,0.6435,-1.161,3
55,13,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,13,0.0,1,3,0.7732,0.1342,-0.0926,0.7732,0.1342,-1.0,3
55,13,0.0,2,4,1.352,0.1738,0.3648,1.352,0.1738,-1.161,3
55,13,0.0,3,5,1.8811,0.3105,0.8991,1.8811,0.3105,-1.2925,3
55,13,0.0,4,5,1.8811,0.3105,0.8991,1.8811,0.3105,-1.2925,3
55,14,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,14,0.0,1,1,-0.0,0.2856,-0.2144,-0.0,0.2856,-0.5,3
55,14,0.0,2,1,-0.0,0.4173,-0.0827,-0.0,0.4173,-0.5,3
55,14,0.0,3,2,0.5226,0.4312,0.1613,0.5226,0.4312,-0.7925,3
