N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
200,123,0.01,0.001,5000,25,hyst_0.01,0.01,3,0.48,4,4.0,False,3,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 12, ""4"": 12}",0.0754,72.0,1.68,3.44,0.8227,20.5,28.8
200,1337,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.8,7,7.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 3, ""4"": 20}",0.0828,45.8,1.71,3.88,0.8178,20.4,28.9
200,2024,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",0.0887,36.0,1.92,3.6,0.7826,21.4,29.3
200,314,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.92,1,1.0,True,4,4,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 23}",0.1245,40.0,1.36,2.84,0.8081,18.9,28.6
200,42,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",0.1016,52.0,1.76,4.12,0.7957,24.7,28.6
200,456,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.84,3,3.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 3, ""4"": 21}",0.0644,60.0,2.0,3.44,0.7492,20.0,29.2
200,55,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",0.0408,56.0,1.84,3.28,0.8077,21.7,29.0
200,7,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.0798,40.0,1.8,3.64,0.8012,21.0,29.0
200,789,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.1127,48.0,1.96,3.96,0.7436,23.8,29.1
200,999,0.01,0.001,5000,25,hyst_0.01,0.01,4,0.84,3,3.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 3, ""4"": 21}",0.046,64.0,2.08,4.24,0.7713,19.1,28.9
200,123,0.01,0.002,5000,25,hyst_0.01,0.01,4,0.92,3,3.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 23}",0.0932,44.0,1.92,4.08,0.7931,23.3,28.5
