seed,window,lid,n_core,s_avg,r_core,rho,links_total,log10_pbirth,B,b_gen_old
0,11,73,2,0.008901,0.989168,0.000242,3027,-12.7679,12.7679,0.01761
0,11,63,3,0.27708,0.450871,0.000242,3027,-19.3568,19.3568,0.374782
0,12,75,3,0.321381,0.982226,0.000237,2966,-18.5693,18.5693,0.947005
0,12,77,2,0.365567,0.999778,0.000237,2966,-11.1586,11.1586,0.730971
0,13,81,2,0.206617,0.490714,0.000245,3062,-11.7016,11.7016,0.20278
0,13,82,2,0.426496,0.040147,0.000245,3062,-12.4741,12.4741,0.034245
0,13,83,2,0.067466,0.999648,0.000245,3062,-11.8787,11.8787,0.134885
0,13,85,2,0.628529,0.999998,0.000245,3062,-10.9093,10.9093,1.257055
0,15,88,2,0.066272,0.721036,0.000238,2976,-12.0407,12.0407,0.09557
0,15,89,2,0.036149,0.974074,0.000238,2976,-12.1733,12.1733,0.070423
0,15,90,2,0.025309,0.945578,0.000238,2976,-12.341,12.341,0.047863
0,15,86,5,0.246688,0.136478,0.000238,2976,-36.7987,36.7987,0.168338
0,18,93,2,0.127712,0.998928,0.00024,2996,-11.6113,11.6113,0.255149
0,18,94,2,0.28186,0.872616,0.00024,2996,-11.3262,11.3262,0.491911
0,19,96,2,0.009867,0.948159,0.000239,2984,-12.7478,12.7478,0.018711
0,19,97,2,0.016603,0.981703,0.000239,2984,-12.5067,12.5067,0.032599
0,20,100,3,0.400884,0.663492,0.000232,2905,-18.7361,18.7361,0.797951
0,21,101,3,0.29154,0.545489,0.000238,2974,-19.1625,19.1625,0.477095
0,21,102,2,0.012443,0.997212,0.000238,2974,-12.6266,12.6266,0.024817
0,21,103,2,0.367374,0.992566,0.000238,2974,-11.1584,11.1584,0.729287
0,21,104,2,0.042572,0.980386,0.000238,2974,-12.0998,12.0998,0.083474
0,21,106,2,0.113217,0.999807,0.000238,2974,-11.6665,11.6665,0.22639
0,21,107,2,0.019402,0.901266,0.000238,2974,-12.4776,12.4776,0.034973
0,21,108,2,0.031299,0.768164,0.000238,2974,-12.3393,12.3393,0.048086
0,21,109,2,0.012804,0.99975,0.000238,2974,-12.6131,12.6131,0.025602
0,21,110,2,0.116951,0.981507,0.000238,2974,-11.6604,11.6604,0.229577
0,21,112,2,0.104231,0.77118,0.000238,2974,-11.8152,11.8152,0.160762
0,23,116,2,0.026948,0.91744,0.000232,2903,-12.3377,12.3377,0.049447
0,24,120,2,0.057651,0.78984,0.000232,2899,-12.0731,12.0731,0.09107
0,24,121,2,0.031927,0.973972,0.000232,2899,-12.2387,12.2387,0.062193
0,24,119,2,0.044985,0.951576,0.000232,2899,-12.0999,12.0999,0.085612
0,25,122,5,0.269819,0.832154,0.000232,2904,-33.545,33.545,1.122657
0,25,123,2,0.011081,0.826661,0.000232,2904,-12.7687,12.7687,0.018321
0,25,124,2,0.017207,0.977246,0.000232,2904,-12.5049,12.5049,0.03363
0,25,126,2,0.056814,0.916389,0.000232,2904,-12.0141,12.0141,0.104128
0,26,128,5,0.358907,0.889934,0.000229,2862,-32.9581,32.9581,1.597019
0,26,129,2,0.020648,0.616187,0.000229,2862,-12.6324,12.6324,0.025446
0,26,131,2,0.01878,0.996567,0.000229,2862,-12.4648,12.4648,0.037431
0,26,133,2,0.529115,0.733764,0.000229,2862,-11.1479,11.1479,0.776491
0,26,127,3,0.462586,0.550987,0.000229,2862,-18.7861,18.7861,0.764636
0,27,144,2,0.042243,0.909768,0.000231,2884,-12.149,12.149,0.076863
0,27,137,2,0.009159,0.983922,0.000231,2884,-12.7788,12.7788,0.018024
0,27,139,2,0.010185,0.9821,0.000231,2884,-12.7335,12.7335,0.020005
0,27,135,2,0.027634,0.991802,0.000231,2884,-12.2958,12.2958,0.054815
0,28,145,2,0.032573,0.926788,0.000221,2760,-12.2729,12.2729,0.060377
0,28,146,2,0.034068,0.999233,0.000221,2760,-12.2207,12.2207,0.068084
0,28,148,2,0.011795,0.938027,0.000221,2760,-12.7088,12.7088,0.022129
0,29,149,2,0.197825,0.898766,0.000218,2724,-11.5085,11.5085,0.355597
0,30,152,2,0.022448,0.996699,0.000232,2901,-12.3814,12.3814,0.044747
0,30,156,2,0.027323,0.997922,0.000232,2901,-12.2955,12.2955,0.054532
0,31,160,2,0.007594,0.575253,0.000229,2866,-13.096,13.096,0.008737
0,31,162,2,0.060327,0.449182,0.000229,2866,-12.3034,12.3034,0.054196
0,31,163,2,0.016784,0.373967,0.000229,2866,-12.9386,12.9386,0.012554
