window,label_id,age,n_core,visible_total,n_seen,near_phase_ratio,theta_variance,share,type_tag,world_jaccard,partner_jaccard
26,138,1,2,23,1,0.3913,0.8079,0.04,local,1.0,1.0
26,144,1,2,22,0,0.1818,0.8597,0.02,isolated|alien|local,1.0,1.0
26,151,-1,2,26,0,0.3077,0.8551,0.07,isolated|local,,
26,152,-1,2,25,0,0.2,0.8103,0.03,isolated|local,,
27,3,23,5,225,5,0.2711,0.9874,0.026316,social|wide,1.0,0.8
27,5,23,4,151,3,0.4238,0.9153,0.013158,social,0.9934,0.6667
27,16,22,5,260,7,0.2538,0.9774,0.046053,social|wide,1.0,0.7143
27,33,19,4,147,1,0.2585,0.9418,0.032895,neutral,1.0,0.0
27,48,17,3,68,1,0.3824,0.9071,0.046053,neutral,1.0,1.0
27,57,16,4,147,6,0.1905,0.8909,0.046053,social|alien,1.0,0.7143
27,76,12,4,151,2,0.2715,0.9655,0.019737,neutral,0.9934,0.0
27,83,11,3,66,1,0.3485,0.8321,0.013158,neutral,1.0,1.0
27,87,10,5,277,8,0.2419,0.949,0.039474,social|wide,0.9893,0.875
27,112,7,5,284,3,0.25,0.9322,0.026316,social|wide,0.9965,0.0
27,114,6,5,251,7,0.2709,0.9427,0.085526,social|wide,0.996,0.7143
27,118,5,3,65,1,0.2462,0.9638,0.032895,neutral,0.9701,1.0
27,121,5,2,25,0,0.24,0.9323,0.013158,isolated|local,1.0,1.0
27,126,4,5,280,3,0.2393,0.9819,0.019737,social|wide,0.9825,0.6667
27,137,2,4,142,2,0.2606,0.9641,0.019737,neutral,0.993,1.0
27,152,0,2,25,0,0.28,0.7464,0.026316,isolated|local,1.0,1.0
27,153,-1,5,266,5,0.282,0.9411,0.078947,social|wide,,
27,154,-1,5,232,4,0.2284,0.9415,0.111842,social|wide,,
27,155,-1,3,63,0,0.3968,0.9218,0.026316,isolated,,
27,156,-1,5,237,2,0.2363,0.9447,0.078947,wide,,
27,157,-1,2,26,0,0.5769,0.9093,0.019737,isolated|familiar|local,,
27,159,-1,2,24,1,0.2083,0.9024,0.026316,local,,
27,161,-1,2,24,1,0.25,0.7989,0.019737,local,,
27,162,-1,2,25,0,0.48,0.9804,0.046053,isolated|local,,
27,163,-1,2,23,1,0.4783,0.9679,0.019737,local,,
27,164,-1,2,26,0,0.2308,0.7901,0.052632,isolated|local,,
