rate,seed,window,from_k,to_k,dH3,dH4,d_none,d_hit,margin_before,margin_after,d_dr3,d_dr4
0.0005,456,4,3,4,-0.736,-0.736,0.1539,0.0769,0.0,0.1371,0.1305,0.2676
0.0005,456,13,4,3,-1.0975,-1.0975,0.1667,0.0,0.1094,0.0,0.1735,0.0641
0.0005,456,17,3,4,0.7853,0.9051,-0.3116,0.0435,0.0,0.0071,0.3977,0.4165
0.0005,456,19,4,3,-0.7821,-0.7821,0.0492,0.0,0.0455,0.0,0.1612,0.1157
0.0005,789,2,3,4,-0.2075,0.1013,0.0077,0.0588,0.0,0.2551,-0.0539,0.0239
0.0005,789,4,4,3,-1.2867,-1.2867,0.5333,0.0,0.0229,0.0,0.1772,0.1543
0.0005,789,18,3,4,-0.1318,0.0221,0.0605,0.0769,0.0,0.093,-0.1509,-0.0802
0.0005,789,20,4,3,0.4109,0.4109,-0.1274,0.0,0.0479,0.0,-0.1442,-0.1921
0.0005,999,4,3,4,0.1978,0.309,-0.0903,0.0556,0.0,0.0778,-0.2875,-0.1893
0.0005,999,6,4,3,-0.9125,-0.9125,0.1399,-0.0769,0.1018,0.0,0.225,0.1232
0.0005,999,22,3,4,0.2936,0.2936,-0.1786,0.1429,0.0,0.1383,0.0,0.1383
0.0005,999,23,4,3,-1.4029,-1.4029,0.3377,-0.1429,0.1383,0.0,0.1177,-0.0206
0.0005,1337,4,3,4,0.0479,0.159,-0.0222,0.0556,0.0,0.0207,0.083,0.1241
0.0005,1337,8,4,3,1.736,1.736,-0.2941,0.0,0.0867,0.0,0.2959,0.2092
0.0005,1337,11,3,4,0.6991,0.8551,-0.19,0.04,0.0,0.0734,-0.0717,-0.0431
0.0005,1337,12,4,3,-2.1991,-2.3551,0.44,-0.04,0.0734,0.0,0.3181,0.2895
0.0005,1337,16,3,4,1.365,1.4983,-0.4083,0.0667,0.0,0.0019,-0.0019,-0.0019
0.0005,1337,18,4,3,-0.1433,-0.1433,-0.2902,-0.0588,0.0292,0.0,0.0164,-0.0128
0.0005,2024,3,3,4,-0.0595,0.4605,0.0229,0.2,0.0,0.7148,0.0001,0.3264
0.0005,2024,5,4,3,1.3945,1.3945,-0.228,0.0,0.1176,0.0,0.1745,0.0569
0.0005,2024,6,3,4,-0.7232,-0.119,0.0333,0.2,0.0,0.5582,-0.0865,0.0285
0.0005,2024,8,4,3,-0.5824,-0.5824,0.0591,0.0,0.1342,0.0,-0.0057,-0.1399
0.0005,2024,16,3,4,-0.1538,-0.1538,0.0,-0.0769,0.0,0.1345,-0.072,0.0625
0.0005,2024,17,4,3,-0.0369,-0.0369,-0.4712,0.0,0.1345,0.0,0.4725,0.338
0.0005,2024,22,3,4,-0.119,-0.0281,0.1818,0.0455,0.0,0.029,-0.015,0.0343
0.0005,2024,24,4,3,0.7605,0.7605,-0.3462,0.0,0.0516,0.0,0.2463,0.1947
0.001,7,2,3,4,-0.2644,-0.0925,0.052,0.0563,-0.0548,0.144,-0.0138,0.0333
0.001,7,6,4,3,-0.051,-0.051,-0.0077,0.0,0.1648,0.0,-0.0813,-0.2461
0.001,7,9,3,4,-0.3013,-0.3013,0.0454,0.0909,0.0,0.1559,0.0867,0.2426
0.001,7,13,4,3,1.7282,1.7282,-0.5667,0.0,0.0578,0.0,0.3942,0.3364
0.001,7,17,3,4,-0.4638,0.1732,0.1046,0.1765,0.0,0.5696,-0.0187,0.1214
0.001,7,19,4,3,-0.325,-0.325,0.2393,0.0,0.037,0.0,-0.3978,-0.4348
0.001,7,22,3,4,1.079,1.2511,-0.125,0.0625,0.0,0.0407,0.1707,0.1707
