seed,rate,window,k,eta,type_count,H_k,drift_k,J_k,flags
55,0.0,18,1,0.4869,2,0.7025,0.3757,0.2857,low_eta
55,0.0,18,2,0.4869,3,1.2467,0.3763,0.623,low_eta
55,0.0,18,3,0.4869,3,1.2467,0.3763,0.623,low_eta
55,0.0,18,4,0.4869,3,1.2467,0.3763,0.623,low_eta
55,0.0,19,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,19,1,0.4869,3,0.953,0.2484,0.2014,low_eta
55,0.0,19,2,0.4869,4,1.523,0.2495,0.6115,low_eta
55,0.0,19,3,0.4869,4,1.523,0.2495,0.6115,low_eta
55,0.0,19,4,0.4869,4,1.523,0.2495,0.6115,low_eta
55,0.0,20,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,20,1,0.4869,3,0.7742,0.084,-0.1418,low_eta
55,0.0,20,2,0.4869,4,1.3605,0.0849,0.2844,low_eta
55,0.0,20,3,0.4869,4,1.3605,0.0849,0.2844,low_eta
55,0.0,20,4,0.4869,4,1.3605,0.0849,0.2844,low_eta
55,0.0,21,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,21,1,0.4869,1,-0.0,0.2895,-0.2105,low_eta
55,0.0,21,2,0.4869,1,-0.0,0.4235,-0.0765,low_eta
55,0.0,21,3,0.4869,1,-0.0,0.4235,-0.0765,low_eta
55,0.0,21,4,0.4869,1,-0.0,0.4235,-0.0765,low_eta
55,0.0,22,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,22,1,0.4869,3,0.8167,0.298,0.1147,low_eta
55,0.0,22,2,0.4869,4,1.2075,0.3714,0.4179,low_eta
55,0.0,22,3,0.4869,4,1.2075,0.3714,0.4179,low_eta
55,0.0,22,4,0.4869,4,1.2075,0.3714,0.4179,low_eta
55,0.0,23,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,23,1,0.4869,2,0.3534,0.2107,-0.2284,low_eta
55,0.0,23,2,0.4869,3,0.6998,0.2146,-0.0856,low_eta
55,0.0,23,3,0.4869,3,0.6998,0.2146,-0.0856,low_eta
55,0.0,23,4,0.4869,3,0.6998,0.2146,-0.0856,low_eta
55,0.0,24,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,24,1,0.4869,3,0.7345,0.1922,-0.0733,low_eta
