seed,window,rate,frac_hit_C,drift4_hit,drift4_nohit,ratio
55,20,0.0,0.0,,0.0849,
55,21,0.0,0.0,,0.4235,
55,22,0.0,0.0,,0.3714,
55,23,0.0,0.0,,0.2146,
55,24,0.0,0.0,,0.2265,
55,25,0.0,0.0,,0.1472,
123,2,0.0,0.0,,0.1339,
123,3,0.0,0.0,,0.2073,
123,4,0.0,0.0,,0.1988,
123,5,0.0,0.0,,0.2052,
123,6,0.0,0.0,,0.4205,
123,7,0.0,0.0,,0.6613,
123,8,0.0,0.0,,0.3308,
123,9,0.0,0.0,,0.6504,
123,10,0.0,0.0,,0.3664,
123,11,0.0,0.0,,0.0739,
123,12,0.0,0.0,,0.0784,
123,13,0.0,0.0,,0.2856,
123,14,0.0,0.0,,0.686,
123,15,0.0,0.0,,0.5628,
123,16,0.0,0.0,,0.3287,
123,17,0.0,0.0,,0.298,
123,18,0.0,0.0,,0.2076,
123,19,0.0,0.0,,0.4565,
123,20,0.0,0.0,,0.5788,
123,21,0.0,0.0,,0.4001,
123,22,0.0,0.0,,0.0851,
123,23,0.0,0.0,,0.3,
123,24,0.0,0.0,,0.0791,
123,25,0.0,0.0,,0.3126,
314,2,0.0,0.0,,0.1431,
314,3,0.0,0.0,,0.2263,
314,4,0.0,0.0,,0.4312,
314,5,0.0,0.0,,0.0854,
314,6,0.0,0.0,,0.5579,
314,7,0.0,0.0,,0.0,
314,8,0.0,0.0,,0.0,
314,9,0.0,0.0,,0.0,
314,10,0.0,0.0,,0.0,
314,11,0.0,0.0,,0.0,
314,12,0.0,0.0,,0.0,
314,13,0.0,0.0,,0.0,
314,14,0.0,0.0,,0.421,
314,15,0.0,0.0,,0.2902,
314,16,0.0,0.0,,0.4122,
314,17,0.0,0.0,,0.1989,
314,18,0.0,0.0,,0.0,
314,19,0.0,0.0,,0.6291,
314,20,0.0,0.0,,0.3641,
314,21,0.0,0.0,,0.4053,
314,22,0.0,0.0,,0.2002,
314,23,0.0,0.0,,0.2466,
314,24,0.0,0.0,,0.4983,
314,25,0.0,0.0,,0.5579,
456,2,0.0,0.0,,0.1176,
456,3,0.0,0.0,,0.0817,
456,4,0.0,0.0,,0.192,
456,5,0.0,0.0,,0.4369,
456,6,0.0,0.0,,0.0,
456,7,0.0,0.0,,0.0,
456,8,0.0,0.0,,0.9182,
456,9,0.0,0.0,,0.6669,
456,10,0.0,0.0,,0.367,
456,11,0.0,0.0,,0.1267,
456,12,0.0,0.0,,0.3497,
456,13,0.0,0.0,,0.186,
456,14,0.0,0.0,,0.2407,
456,15,0.0,0.0,,0.1788,
456,16,0.0,0.0,,0.3599,
456,17,0.0,0.0,,0.0766,
456,18,0.0,0.0,,0.2755,
456,19,0.0,0.0,,0.3023,
456,20,0.0,0.0,,0.4912,
456,21,0.0,0.0,,0.2161,
456,22,0.0,0.0,,0.4369,
456,23,0.0,0.0,,0.0,
456,24,0.0,0.0,,0.468,
456,25,0.0,0.0,,0.0921,
789,2,0.0,0.0,,0.1746,
789,3,0.0,0.0,,0.2705,
789,4,0.0,0.0,,0.2073,
789,5,0.0,0.0,,0.2793,
789,6,0.0,0.0,,0.3281,
789,7,0.0,0.0,,0.5423,
789,8,0.0,0.0,,0.3287,
789,9,0.0,0.0,,0.537,
789,10,0.0,0.0,,0.304,
789,11,0.0,0.0,,0.3384,
789,12,0.0,0.0,,0.0724,
789,13,0.0,0.0,,0.3558,
789,14,0.0,0.0,,0.3857,
789,15,0.0,0.0,,0.3128,
789,16,0.0,0.0,,0.0967,
789,17,0.0,0.0,,0.2498,
789,18,0.0,0.0,,0.0514,
789,19,0.0,0.0,,0.4957,
789,20,0.0,0.0,,0.3983,
789,21,0.0,0.0,,0.2408,
789,22,0.0,0.0,,0.2547,
789,23,0.0,0.0,,0.0933,
789,24,0.0,0.0,,0.3416,
789,25,0.0,0.0,,0.4936,
999,2,0.0,0.0,,0.2118,
999,3,0.0,0.0,,0.1807,
999,4,0.0,0.0,,0.2063,
999,5,0.0,0.0,,0.3437,
999,6,0.0,0.0,,0.1785,
999,7,0.0,0.0,,0.2761,
999,8,0.0,0.0,,0.3775,
999,9,0.0,0.0,,0.2939,
999,10,0.0,0.0,,0.3826,
999,11,0.0,0.0,,0.4901,
999,12,0.0,0.0,,0.2889,
999,13,0.0,0.0,,0.4534,
999,14,0.0,0.0,,0.3817,
999,15,0.0,0.0,,0.2284,
999,16,0.0,0.0,,0.1738,
999,17,0.0,0.0,,0.2746,
999,18,0.0,0.0,,0.3201,
999,19,0.0,0.0,,0.0,
999,20,0.0,0.0,,0.0,
999,21,0.0,0.0,,0.0,
999,22,0.0,0.0,,0.4113,
999,23,0.0,0.0,,0.4113,
999,24,0.0,0.0,,0.4369,
999,25,0.0,0.0,,0.4369,
1337,2,0.0,0.0,,0.0823,
1337,3,0.0,0.0,,0.184,
1337,4,0.0,0.0,,0.4536,
1337,5,0.0,0.0,,0.5579,
1337,6,0.0,0.0,,0.2119,
1337,7,0.0,0.0,,0.1593,
1337,8,0.0,0.0,,0.3439,
1337,9,0.0,0.0,,0.6654,
1337,10,0.0,0.0,,0.4405,
1337,11,0.0,0.0,,0.3287,
